genres,year
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018.0
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017.0
"['Action', 'Adventure', 'Simulation']",2018.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
"['Casual', 'Indie', 'Racing', 'Simulation']",2018.0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018.0
"['Casual', 'Indie']",2018.0
"['Casual', 'Indie', 'Simulation']",2018.0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
"['Action', 'Adventure', 'Indie']",2018.0
"['Racing', 'Simulation', 'Sports']",2017.0
"['Racing', 'Simulation', 'Sports']",2017.0
"['Action', 'Indie']",2018.0
"['Action', 'Indie', 'Racing']",1997.0
['Action'],1998.0
"['Action', 'Indie', 'RPG']",2016.0
"['Casual', 'Indie', 'Strategy']",2018.0
['Action'],2018.0
"['Casual', 'Indie', 'Simulation']",2018.0
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",2018.0
"['Adventure', 'Casual', 'Indie']",2017.0
"['Adventure', 'Casual', 'Indie', 'RPG']",2018.0
['Strategy'],2006.0
['Strategy'],2006.0
"['Action', 'Indie', 'RPG']",2006.0
['Strategy'],2012.0
"['Action', 'Indie', 'Strategy', 'Early Access']",2017.0
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2018.0
"['Action', 'Adventure', 'Indie', 'RPG']",2017.0
"['Casual', 'Strategy', 'Early Access']",2017.0
"['Action', 'Indie']",2017.0
"['Action', 'Adventure', 'Casual']",2017.0
['Action'],2005.0
"['Indie', 'Strategy']",2006.0
"['Action', 'Indie', 'RPG']",2006.0
"['Indie', 'Simulation']",2006.0
['Racing'],2006.0
"['Casual', 'Indie']",2006.0
"['Casual', 'Indie']",2006.0
['Strategy'],2003.0
['Strategy'],2006.0
"['Adventure', 'RPG']",2006.0
['Racing'],2006.0
['Racing'],2005.0
"['Action', 'Adventure']",2007.0
['Strategy'],2006.0
['RPG'],2002.0
"['Action', 'Adventure', 'RPG']",2000.0
['Strategy'],2006.0
['Strategy'],2003.0
['Strategy'],2006.0
['Strategy'],1998.0
['Strategy'],1995.0
"['Action', 'Adventure']",2007.0
['Action'],2006.0
"['Action', 'Adventure']",2006.0
['Action'],1996.0
"['Action', 'Adventure']",2006.0
['Action'],1995.0
['Action'],1995.0
['Action'],1994.0
['Action'],1994.0
['Action'],2001.0
['Action'],1997.0
['Action'],1993.0
['Action'],2003.0
['Action'],2007.0
['Action'],2007.0
['Strategy'],2007.0
['Strategy'],2006.0
"['Action', 'RPG']",2007.0
['Strategy'],2006.0
['Strategy'],2006.0
['Strategy'],2004.0
['Strategy'],2006.0
['Casual'],2007.0
['Action'],1998.0
['Action'],1999.0
['Action'],2004.0
['Racing'],2003.0
['Action'],2003.0
"['Action', 'Adventure']",2006.0
['Action'],2001.0
['Strategy'],2008.0
['Casual'],2007.0
"['RPG', 'Casual', 'Adventure']",2007.0
['Strategy'],2007.0
"['Action', 'Adventure', 'Strategy']",2007.0
['Racing'],2007.0
['Action'],2008.0
['Action'],2007.0
['Simulation'],2006.0
['Action'],2006.0
"['Action', 'Adventure']",2007.0
['Action'],2006.0
"['Simulation', 'Strategy']",2006.0
['Action'],2005.0
['Action'],2003.0
['Action'],1998.0
"['Casual', 'Indie']",2008.0
['Action'],2003.0
['Action'],2004.0
['Action'],2000.0
['Action'],2006.0
['Simulation'],2005.0
"['Casual', 'Simulation']",2008.0
['Casual'],2008.0
['Casual'],2008.0
['Casual'],2008.0
['Casual'],2008.0
['Casual'],2008.0
['Casual'],2005.0
['Casual'],2007.0
['Simulation'],2007.0
['Casual'],2005.0
"['Action', 'Adventure']",2007.0
['Simulation'],2007.0
['Simulation'],2006.0
['Simulation'],2008.0
['Adventure'],2005.0
['Racing'],2005.0
['Adventure'],2006.0
['Racing'],2008.0
['Simulation'],2007.0
['Casual'],2007.0
['Adventure'],2008.0
['Sports'],2008.0
"['Adventure', 'RPG']",2008.0
"['Adventure', 'Indie']",2008.0
"['Simulation', 'Strategy']",2007.0
"['Action', 'Indie']",2008.0
['Racing'],2008.0
['Adventure'],1998.0
['Adventure'],1997.0
['Racing'],2008.0
['Strategy'],2001.0
['Strategy'],1997.0
['Strategy'],1993.0
"['Action', 'RPG']",2008.0
['Action'],2008.0
['Action'],2007.0
['Strategy'],1998.0
"['Action', 'RPG']",2008.0
['Indie'],2008.0
['Racing'],2008.0
"['Strategy', 'Simulation']",2008.0
['Strategy'],2008.0
['Action'],2003.0
"['Action', 'Adventure']",2008.0
"['Simulation', 'Strategy']",2008.0
"['RPG', 'Strategy']",2008.0
['Action'],2008.0
"['Indie', 'Casual']",2008.0
['Racing'],2006.0
['Strategy'],2006.0
['Action'],2005.0
['Strategy'],2007.0
['Strategy'],2008.0
['Casual'],2007.0
['Action'],2002.0
['Casual'],2008.0
['Indie'],2008.0
"['Action', 'Simulation', 'Strategy']",2008.0
['Action'],2008.0
"['Casual', 'Indie']",2008.0
"['Indie', 'Casual', 'Sports']",2008.0
"['Action', 'Adventure']",2008.0
['Action'],2008.0
"['Action', 'Indie', 'Strategy']",2008.0
['Simulation'],2009.0
['Simulation'],2009.0
['Simulation'],2009.0
['Simulation'],2009.0
['Simulation'],2009.0
['Simulation'],2009.0
['Simulation'],2009.0
['Action'],2009.0
['Action'],2008.0
['RPG'],2008.0
"['Action', 'Adventure']",2009.0
"['Indie', 'Strategy']",2008.0
['Action'],2009.0
"['Strategy', 'Indie']",2008.0
"['Indie', 'Strategy']",2007.0
"['Action', 'Indie']",2009.0
['Strategy'],2005.0
"['Action', 'Adventure', 'Strategy']",2009.0
['Strategy'],2009.0
['Action'],2009.0
"['Action', 'Adventure', 'Indie']",2007.0
['Action'],2007.0
['RPG'],2009.0
"['Casual', 'Strategy']",2009.0
"['Indie', 'Simulation']",2008.0
['Racing'],2009.0
"['Action', 'Indie']",2009.0
"['Action', 'Indie']",2009.0
"['Action', 'Indie']",2009.0
"['Casual', 'Indie']",2009.0
['Indie'],2009.0
"['Simulation', 'Strategy']",2009.0
['Casual'],2009.0
"['RPG', 'Massively Multiplayer']",2006.0
"['RPG', 'Massively Multiplayer']",2005.0
"['RPG', 'Massively Multiplayer']",2006.0
"['Massively Multiplayer', 'RPG']",2008.0
['Casual'],2009.0
['Casual'],2009.0
['RPG'],2009.0
['Strategy'],2009.0
"['Action', 'Adventure', 'RPG']",2009.0
"['Action', 'Indie']",2009.0
['Indie'],2009.0
